Student_ID,Age,Study_Hours_per_Week,Online_Courses_Completed,Assignment_Completion_Rate,Exam_Score,Attendance_Rate,Sleep_Hours_per_Night,Parental_Income,Extracurricular_Activities,Commute_Time,Part_Time_Job_Hours,Time_Spent_on_Social_Media,Gender,Preferred_Learning_Style,Participation_in_Discussions,Use_of_Educational_Tech,Peer_Study_Group,Self_Reported_Stress_Level,Parental_Education,Health_Metrics,Final_Grade,Letter_Grade,AtRisk
S05886,20,25.2,13.01,79.25,69.6,86.84,8.1,112269.81,17.23,97.7,11.4,3.29,Male,Visual,Yes,Yes,True,Medium,Associate_Degree,Excellent,86.34,B,No
S05887,19,21.1,7.88,67.13,60.04,75.06,8.0,58393.95,15.87,71.5,14.0,4.42,Male,Reading/Writing,No,Yes,False,High,High_School_Diploma,Average,76.93,C,Yes
S05888,22,31.8,10.14,86.93,75.61,95.34,8.6,101252.09,15.82,103.6,6.1,2.35,Male,Visual,Yes,Yes,True,Low,Associate_Degree,Excellent,91.67,A-,No
S05889,23,24.2,7.96,76.78,76.3,91.68,7.0,107118.93,15.74,40.9,13.9,3.55,Female,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Average,89.19,B+,No
S05890,24,21.6,2.99,79.53,67.65,82.4,6.7,65248.69,14.45,75.4,15.1,3.0,Male,Reading/Writing,Yes,Yes,False,Low,High_School_Diploma,Average,81.84,B-,Yes
S05891,21,30.4,10.58,78.98,70.64,78.88,7.3,78511.06,12.41,53.4,16.7,3.73,Male,Visual,Yes,Yes,False,Medium,Some_College_No_Degree,Average,82.01,B-,Yes
S05892,21,13.6,6.48,58.63,63.25,65.08,8.8,119762.51,18.7,82.2,22.0,3.41,Female,Auditory,No,Yes,False,High,Associate_Degree,Excellent,77.11,C+,Yes
S05893,18,32.9,17.67,84.62,59.09,81.91,6.7,79403.42,12.68,93.4,9.5,3.7,Other,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,84.1,B,No
S05894,23,30.3,11.55,75.21,77.47,84.23,6.4,162339.77,15.59,97.6,9.3,4.14,Male,Visual,Yes,Yes,True,Medium,Masters_Degree,Average,96.17,A,No
S05895,29,26.9,5.8,93.0,86.14,99.07,7.0,171898.4,15.59,134.6,10.7,3.24,Female,Visual,Yes,Yes,True,Low,Masters_Degree,Average,97.33,A,No
S05896,20,32.3,12.04,86.48,76.28,92.05,7.2,96332.3,15.34,96.4,1.7,3.87,Female,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,89.61,B+,No
S05897,21,29.7,11.08,85.28,76.5,95.7,7.2,69326.33,17.54,40.0,12.5,2.71,Male,Visual,Yes,Yes,True,Low,High_School_Diploma,Average,86.6,B,No
S05898,22,37.1,11.13,88.5,80.97,93.67,8.1,151779.72,17.33,122.1,6.2,2.64,Other,Kinesthetic,Yes,Yes,True,Low,Bachelors_Degree,Excellent,96.27,A,No
S05899,22,18.0,11.7,74.03,61.2,77.68,7.2,102643.27,14.07,88.8,13.5,3.91,Female,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Average,83.07,B,No
S05900,24,21.4,4.3,75.05,71.27,75.13,8.2,118514.98,16.28,124.8,9.5,2.47,Male,Reading/Writing,Yes,Yes,False,Low,Associate_Degree,Excellent,82.08,B-,Yes
S05901,21,35.8,15.27,81.98,80.99,93.25,6.8,102912.14,14.12,78.5,8.0,3.79,Female,Kinesthetic,Yes,Yes,True,Medium,Associate_Degree,Average,90.88,A-,No
S05902,22,20.0,10.37,74.7,64.71,82.26,7.4,99414.24,16.56,87.6,17.2,3.92,Male,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Average,81.73,B-,Yes
S05903,23,27.7,10.9,75.72,76.17,86.74,6.8,166727.01,15.46,119.0,13.1,3.04,Female,Visual,Yes,Yes,True,Low,Masters_Degree,Average,92.78,A-,No
S05904,21,46.1,18.32,92.72,89.65,100.52,6.0,103891.16,14.6,52.2,4.4,3.53,Female,Kinesthetic,Yes,Yes,True,Medium,Associate_Degree,Average,98.31,A,No
S05905,19,37.9,13.38,81.73,79.79,87.76,7.7,96806.73,17.39,68.9,8.4,4.05,Male,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Average,89.36,B+,No
S05906,20,32.2,11.16,81.65,68.08,84.55,8.5,79848.76,14.6,86.5,11.3,3.17,Female,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Excellent,84.27,B,No
S05907,22,15.0,7.39,62.57,64.87,77.19,6.4,100780.79,15.49,92.9,12.2,4.6,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,83.15,B,No
S05908,23,16.8,9.73,75.96,68.02,84.57,8.0,98935.78,18.47,64.0,11.1,4.0,Other,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Average,84.6,B,No
S05909,24,22.7,9.1,71.55,68.23,74.14,7.0,91539.06,10.94,107.7,16.9,3.73,Female,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Average,78.54,C+,Yes
S05910,24,29.4,12.12,81.96,82.38,87.29,6.4,138860.43,18.07,90.2,9.0,3.41,Male,Visual,Yes,Yes,True,Medium,Bachelors_Degree,Average,94.45,A,No
S05911,24,16.9,11.65,72.5,67.96,75.26,6.4,57099.88,16.0,61.6,16.6,3.94,Male,Reading/Writing,No,Yes,False,Medium,High_School_Diploma,Average,78.34,C+,Yes
S05912,22,21.9,7.24,78.18,63.42,84.21,7.7,123050.27,12.94,104.6,20.6,3.94,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Average,82.05,B-,Yes
S05913,19,33.2,17.28,80.95,74.86,85.63,7.8,102893.51,17.18,59.2,8.5,3.55,Male,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,90.59,A-,No
S05914,22,11.8,3.88,58.95,56.24,66.31,8.3,92481.62,15.76,145.8,13.9,4.15,Male,Auditory,No,Yes,False,High,Some_College_No_Degree,Excellent,71.1,C-,Yes
S05915,24,9.0,4.14,57.3,59.0,64.19,6.9,82423.51,15.93,103.0,13.6,4.44,Female,Auditory,No,Yes,False,High,Some_College_No_Degree,Average,77.84,C+,Yes
S05916,22,32.9,5.94,80.36,74.93,89.34,7.3,56364.91,12.2,73.8,10.8,4.34,Male,Visual,Yes,Yes,True,Medium,High_School_Diploma,Average,84.82,B,No
S05917,21,40.6,7.66,76.42,85.52,83.6,6.7,113126.81,17.47,104.7,6.2,4.09,Female,Kinesthetic,Yes,Yes,True,Medium,Associate_Degree,Average,94.01,A,No
S05918,18,43.9,16.18,84.35,75.87,100.35,4.5,81981.99,13.27,77.2,15.0,4.79,Male,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Poor,88.06,B+,No
S05919,23,30.0,12.98,82.26,77.29,84.11,6.9,100308.48,15.28,82.5,13.8,4.12,Male,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,88.35,B+,No
S05920,22,36.1,10.62,89.41,77.93,96.86,7.0,107734.67,15.45,66.8,15.0,3.25,Male,Kinesthetic,Yes,Yes,True,Low,Associate_Degree,Average,92.28,A-,No
S05921,22,13.1,5.91,61.34,58.6,67.01,7.2,109180.49,15.02,155.8,16.1,4.7,Male,Auditory,No,Yes,False,High,Associate_Degree,Average,72.03,C-,Yes
S05922,24,15.0,7.55,65.84,65.2,73.65,6.6,121397.21,14.23,140.7,10.3,4.44,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,77.54,C+,Yes
S05923,23,18.6,7.15,70.14,61.53,72.03,7.8,111063.03,16.58,114.4,13.0,4.37,Female,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Average,84.01,B,No
S05924,22,30.4,10.05,79.38,89.73,100.7,6.6,153809.73,21.76,46.7,5.9,3.05,Female,Visual,Yes,Yes,True,Medium,Bachelors_Degree,Average,100.48,A,No
S05925,19,24.8,12.06,73.42,62.24,80.87,8.7,99843.92,16.79,78.5,6.9,3.21,Female,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Excellent,85.39,B,No
S05926,20,20.4,12.28,65.75,66.78,75.81,8.1,111152.44,17.89,113.6,11.3,3.59,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Excellent,82.91,B-,Yes
S05927,20,22.6,12.8,75.1,64.99,76.21,8.7,101556.66,16.43,91.8,7.9,3.24,Female,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Excellent,84.81,B,No
S05928,23,12.3,7.89,73.75,68.91,80.95,9.1,127181.92,20.38,96.7,10.0,3.1,Female,Auditory,No,Yes,False,Medium,Associate_Degree,Excellent,85.74,B,No
S05929,20,28.8,11.62,62.4,74.99,67.23,8.1,73302.26,16.7,81.5,7.9,3.01,Female,Visual,No,Yes,False,High,Some_College_No_Degree,Excellent,81.76,B-,Yes
S05930,25,28.0,13.38,92.79,86.85,101.73,6.9,156493.85,16.93,35.5,9.0,2.2,Female,Visual,Yes,Yes,True,Low,Bachelors_Degree,Average,101.08,A,No
S05931,25,18.3,2.65,73.37,71.12,74.5,7.3,123829.48,16.2,119.9,17.1,3.1,Female,Reading/Writing,No,Yes,False,Low,Associate_Degree,Average,83.16,B,No
S05932,19,11.1,7.03,57.12,54.86,73.49,10.0,133305.3,18.72,121.2,16.5,3.66,Female,Auditory,No,Yes,False,High,Bachelors_Degree,Excellent,74.16,C,Yes
S05933,25,20.4,5.15,81.6,69.22,85.98,8.1,93934.91,15.9,136.6,13.7,2.53,Male,Reading/Writing,Yes,Yes,False,Low,Some_College_No_Degree,Excellent,81.5,B-,Yes
S05934,19,25.5,11.12,77.77,62.12,83.6,7.5,118025.6,16.61,114.4,12.4,2.62,Female,Visual,Yes,Yes,True,Low,Associate_Degree,Average,85.39,B,No
S05935,19,23.0,11.41,72.82,54.99,70.65,8.0,106892.71,15.56,117.9,11.5,3.97,Female,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Average,82.6,B-,Yes
S05936,20,30.0,8.52,78.84,76.64,87.41,9.0,120584.12,16.94,58.5,6.6,1.71,Male,Visual,Yes,Yes,True,Low,Associate_Degree,Excellent,91.62,A-,No
S05937,22,18.2,11.19,68.36,66.47,82.51,6.5,109456.76,15.36,75.5,14.8,5.07,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,84.78,B,No
S05938,19,28.6,7.47,71.33,71.91,81.56,8.1,68096.09,16.35,73.1,10.1,2.96,Female,Visual,No,Yes,True,Medium,High_School_Diploma,Excellent,82.26,B-,Yes
S05939,22,24.1,13.4,69.47,71.67,74.58,6.9,113876.84,17.99,94.0,8.2,4.62,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,88.98,B+,No
S05940,20,33.5,10.01,76.14,77.03,82.47,7.8,90802.49,16.34,116.5,4.3,4.05,Male,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,86.68,B,No
S05941,21,13.2,14.47,68.88,66.16,81.74,7.8,113427.39,17.77,114.8,4.9,3.91,Male,Auditory,No,Yes,False,High,Associate_Degree,Average,84.43,B,No
S05942,25,23.0,4.84,79.23,82.36,85.45,8.9,113024.28,17.1,88.1,10.9,1.86,Male,Reading/Writing,Yes,Yes,False,Low,Associate_Degree,Excellent,89.19,B+,No
S05943,21,36.1,10.9,79.9,68.73,74.11,7.9,84696.9,12.69,113.9,11.9,4.16,Male,Kinesthetic,Yes,Yes,False,Medium,Some_College_No_Degree,Average,83.65,B,No
S05944,26,18.3,5.6,76.16,78.02,79.71,8.1,147288.26,19.2,99.8,11.7,1.81,Male,Reading/Writing,Yes,Yes,False,Low,Bachelors_Degree,Excellent,90.71,A-,No
S05945,18,15.1,6.44,51.12,62.66,65.35,9.6,104550.32,18.13,75.9,10.5,3.62,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Excellent,79.68,C+,Yes
S05946,20,21.4,11.24,72.8,59.94,73.21,8.0,112492.66,14.76,87.8,10.5,3.77,Female,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Average,84.62,B,No
S05947,22,42.9,13.43,89.57,77.96,87.57,6.7,92371.04,11.92,98.1,12.4,4.2,Male,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Average,87.05,B+,No
S05948,20,24.7,6.7,65.04,61.98,73.91,8.0,42044.89,14.12,84.4,16.2,4.45,Female,Reading/Writing,No,Yes,False,High,High_School_Diploma,Average,75.38,C,Yes
S05949,21,23.1,12.3,75.74,69.68,81.99,7.5,80984.09,18.69,71.4,14.1,4.12,Female,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Average,82.75,B-,Yes
S05950,24,7.7,0.84,60.67,47.13,51.34,9.0,26996.39,11.88,127.3,18.0,3.89,Male,Auditory,No,Yes,False,High,High_School_Diploma,Excellent,64.0,D,Yes
S05951,21,31.0,11.57,81.52,75.87,88.44,8.3,50537.6,17.24,37.0,11.3,2.81,Female,Visual,Yes,Yes,True,Medium,High_School_Diploma,Excellent,85.86,B,No
S05952,20,14.7,6.03,62.38,55.97,70.05,7.3,38056.23,16.12,54.8,8.9,4.12,Male,Auditory,No,No,False,High,High_School_Diploma,Average,77.25,C+,Yes
S05953,20,39.4,13.45,84.53,79.44,81.58,8.4,79066.51,15.99,76.0,8.1,2.84,Male,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Excellent,88.42,B+,No
S05954,22,13.6,9.34,68.3,51.91,67.12,7.7,101901.9,13.86,132.1,17.4,5.02,Female,Auditory,No,Yes,False,High,Associate_Degree,Average,72.3,C-,Yes
S05955,23,14.7,7.43,63.6,58.24,68.7,7.4,31713.19,15.5,90.7,14.7,4.42,Female,Auditory,No,Yes,False,High,High_School_Diploma,Average,74.81,C,Yes
S05956,21,21.8,8.56,76.96,68.59,87.79,9.6,108690.41,18.98,86.4,7.4,3.12,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Excellent,87.96,B+,No
S05957,26,17.9,4.3,73.72,68.41,78.2,7.3,142679.27,14.81,141.1,21.1,3.78,Male,Reading/Writing,No,Yes,False,Low,Bachelors_Degree,Average,79.9,C+,Yes
S05958,22,25.9,11.3,70.42,69.08,82.02,5.7,74385.17,15.11,95.8,13.2,4.76,Female,Visual,No,Yes,True,Medium,Some_College_No_Degree,Poor,82.72,B-,Yes
S05959,24,9.7,9.3,72.92,63.52,78.89,8.2,96657.25,18.52,99.4,13.9,3.23,Male,Auditory,No,Yes,False,Medium,Some_College_No_Degree,Excellent,79.26,C+,Yes
S05960,21,9.9,9.14,57.59,64.35,75.29,7.9,157500.24,19.15,109.0,9.8,4.19,Female,Auditory,No,Yes,False,High,Bachelors_Degree,Average,85.52,B,No
S05961,21,16.5,11.69,66.56,63.72,82.45,7.3,94753.97,16.36,64.4,14.7,4.34,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,80.91,B-,Yes
S05962,20,37.1,16.68,81.3,69.03,84.6,5.0,130021.33,10.52,92.9,13.2,5.05,Female,Kinesthetic,Yes,Yes,True,Medium,Bachelors_Degree,Poor,88.97,B+,No
S05963,22,39.4,10.99,75.93,72.15,74.01,5.5,66805.77,11.25,118.8,14.2,5.02,Female,Kinesthetic,Yes,Yes,False,Medium,High_School_Diploma,Poor,80.9,B-,Yes
S05964,20,25.8,11.54,67.23,62.82,73.93,6.7,69419.62,13.15,58.3,15.8,4.01,Male,Visual,No,Yes,False,High,High_School_Diploma,Average,78.86,C+,Yes
S05965,23,19.4,13.85,73.64,65.95,78.45,6.4,120132.12,14.7,96.6,16.5,4.2,Male,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Average,83.65,B,No
S05966,23,33.2,7.56,77.27,87.53,101.86,6.1,119726.95,15.75,80.1,7.4,4.38,Male,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,94.91,A,No
S05967,25,29.3,9.1,86.06,72.22,85.43,5.9,85232.83,14.42,121.7,13.2,4.49,Female,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Poor,83.74,B,No
S05968,21,30.7,12.96,80.34,67.88,81.88,5.9,41231.02,14.55,83.6,11.0,5.48,Male,Visual,Yes,Yes,True,Medium,High_School_Diploma,Poor,80.81,B-,Yes
S05969,21,34.0,12.44,76.55,75.51,82.57,7.2,72876.07,14.41,101.3,10.4,4.29,Female,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,83.7,B,No
S05970,21,18.9,8.52,57.41,60.55,60.66,7.7,78136.18,16.52,135.1,17.4,4.61,Female,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,70.21,C-,Yes
S05971,22,22.6,12.05,78.86,71.84,89.08,8.7,117724.8,19.53,69.5,14.1,3.09,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Excellent,87.29,B+,No
S05972,24,19.2,9.12,75.16,64.39,78.48,8.3,95119.58,13.7,121.8,14.7,2.98,Female,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Excellent,75.41,C,Yes
S05973,20,37.6,10.19,75.39,79.83,85.04,6.0,77180.44,15.2,52.5,8.5,3.18,Male,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Average,88.97,B+,No
S05974,22,6.3,6.8,58.15,53.47,71.77,7.5,49597.18,12.91,70.0,14.9,4.42,Male,Auditory,No,Yes,False,High,High_School_Diploma,Average,70.74,C-,Yes
S05975,23,27.1,8.77,83.11,78.35,97.94,7.9,102439.95,15.43,37.8,13.1,2.54,Female,Visual,Yes,Yes,True,Low,Associate_Degree,Average,91.55,A-,No
S05976,27,33.4,6.58,88.41,97.66,96.76,7.2,145230.54,20.31,108.2,8.0,3.0,Female,Visual,Yes,Yes,True,Low,Bachelors_Degree,Average,98.8,A,No
S05977,24,9.4,5.63,57.16,60.86,63.69,7.5,89358.96,15.36,117.1,16.7,4.6,Male,Auditory,No,Yes,False,High,Some_College_No_Degree,Average,75.13,C,Yes
S05978,20,18.3,13.39,71.38,63.0,82.93,7.4,69007.84,16.65,38.7,13.1,3.66,Male,Reading/Writing,No,Yes,False,Medium,High_School_Diploma,Average,79.91,C+,Yes
S05979,25,36.0,11.82,88.5,88.5,93.98,5.3,108221.08,15.73,104.3,9.4,4.12,Male,Kinesthetic,Yes,Yes,True,Low,Associate_Degree,Poor,93.7,A,No
S05980,23,24.5,11.29,72.65,69.13,75.75,6.2,95753.59,16.23,127.8,15.9,4.2,Female,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Average,76.34,C,Yes
S05981,22,23.6,12.5,79.24,73.62,89.63,7.5,130296.11,17.58,68.3,11.0,4.42,Male,Reading/Writing,Yes,Yes,False,Medium,Bachelors_Degree,Average,91.54,A-,No
S05982,20,32.2,13.14,85.67,67.27,84.73,8.6,67974.79,13.72,23.8,8.4,2.39,Male,Visual,Yes,Yes,True,Medium,High_School_Diploma,Excellent,86.34,B,No
S05983,22,21.1,7.32,69.82,73.54,88.16,7.5,102264.54,15.52,62.2,13.1,4.7,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,86.46,B,No
S05984,23,29.7,12.52,69.01,78.15,73.52,6.3,145145.67,15.84,100.9,13.0,4.88,Male,Visual,No,Yes,False,High,Bachelors_Degree,Average,90.54,A-,No
S05985,22,24.5,11.57,82.21,74.24,87.9,9.0,133308.6,19.64,72.2,11.8,2.82,Male,Reading/Writing,Yes,Yes,False,Medium,Bachelors_Degree,Excellent,91.25,A-,No
S05986,22,15.0,7.12,63.23,66.61,76.9,7.9,123400.01,16.01,104.3,14.6,4.43,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,82.2,B-,Yes
S05987,20,17.8,14.11,63.54,61.22,66.99,7.0,82218.87,16.71,52.1,15.6,3.83,Female,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,78.64,C+,Yes
S05988,21,23.8,9.12,66.89,72.69,76.03,7.9,129241.61,19.51,92.2,4.9,4.63,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,90.79,A-,No
S05989,19,21.8,14.15,66.05,63.69,79.54,7.5,128115.59,15.11,78.4,9.8,4.49,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,86.95,B,No
S05990,25,32.2,8.61,95.61,83.23,98.32,7.4,97303.99,15.14,58.1,7.7,2.51,Male,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,92.65,A-,No
S05991,21,35.3,9.87,81.0,78.53,86.24,7.9,115775.86,15.69,110.5,8.4,4.0,Male,Kinesthetic,Yes,Yes,True,Medium,Associate_Degree,Average,90.13,A-,No
S05992,25,14.4,6.34,59.68,64.97,68.91,7.4,90198.67,15.14,140.3,16.6,4.72,Female,Auditory,No,Yes,False,Medium,Some_College_No_Degree,Average,72.34,C-,Yes
S05993,18,13.3,10.41,58.94,55.19,67.76,9.5,62064.22,16.22,88.5,6.3,2.82,Female,Auditory,No,Yes,False,High,High_School_Diploma,Excellent,75.7,C,Yes
S05994,22,27.2,12.12,76.62,75.3,83.12,6.8,81805.47,15.75,95.4,14.2,3.93,Female,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,82.94,B-,Yes
S05995,24,29.4,10.67,78.11,89.45,92.62,7.3,143852.41,19.49,80.9,12.7,3.08,Male,Visual,Yes,Yes,True,Low,Bachelors_Degree,Average,93.71,A,No
S05996,24,25.9,6.65,81.79,81.32,98.84,7.5,159932.66,18.08,75.4,15.8,3.13,Female,Visual,Yes,Yes,True,Low,Bachelors_Degree,Average,94.1,A,No
S05997,24,30.5,14.27,87.27,84.31,97.12,5.4,120141.35,17.15,60.2,12.5,4.63,Female,Visual,Yes,Yes,True,Medium,Associate_Degree,Poor,93.63,A,No
S05998,22,29.9,9.29,79.6,81.27,93.91,7.8,108659.07,16.97,75.6,8.3,3.2,Female,Visual,Yes,Yes,True,Low,Associate_Degree,Average,92.03,A-,No
S05999,23,26.2,10.85,68.91,81.92,79.72,8.1,123328.74,15.39,87.3,8.3,3.17,Female,Visual,No,Yes,False,High,Associate_Degree,Excellent,88.66,B+,No
S06000,22,19.3,10.97,67.62,65.25,74.63,8.1,93720.21,18.12,109.6,11.4,3.51,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Excellent,80.81,B-,Yes
S06001,24,30.8,8.12,72.14,81.66,91.15,6.3,121935.17,12.3,107.6,11.4,3.58,Female,Visual,No,Yes,True,Medium,Associate_Degree,Average,89.86,B+,No
S06002,20,43.1,12.78,89.34,84.42,99.38,7.5,63980.62,16.87,33.1,7.1,3.92,Female,Kinesthetic,Yes,Yes,True,Medium,High_School_Diploma,Average,91.73,A-,No
S06003,21,26.4,12.3,77.7,57.86,69.86,6.5,94203.15,10.46,127.0,14.8,4.1,Male,Visual,Yes,Yes,False,Medium,Some_College_No_Degree,Average,72.75,C-,Yes
S06004,23,23.6,12.37,80.59,70.61,82.31,8.3,80803.3,16.34,89.8,9.9,3.61,Male,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Excellent,84.65,B,No
S06005,20,26.7,11.37,76.09,64.97,83.97,6.5,71699.48,16.54,79.0,11.5,3.33,Male,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,83.11,B,No
S06006,23,35.3,16.54,94.11,92.6,101.03,6.1,127547.6,18.4,16.1,4.3,3.64,Male,Kinesthetic,Yes,Yes,True,Medium,Associate_Degree,Average,99.5,A,No
S06007,24,19.6,12.44,74.64,74.25,84.91,6.6,125213.52,15.79,81.6,17.8,3.95,Female,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Average,86.51,B,No
S06008,24,13.2,8.55,61.55,61.61,63.24,7.9,146685.25,16.28,158.7,15.0,5.36,Male,Auditory,No,Yes,False,High,Bachelors_Degree,Average,77.34,C+,Yes
S06009,19,34.6,16.03,86.32,81.97,96.88,8.0,113555.66,18.75,10.0,5.7,3.52,Female,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,94.83,A,No
S06010,21,38.2,9.41,84.08,79.8,93.02,7.4,91511.75,14.97,126.6,9.1,4.58,Male,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Average,86.04,B,No
S06011,25,31.1,6.08,87.78,86.23,101.63,7.8,109547.48,16.6,32.5,9.8,2.43,Male,Visual,Yes,Yes,True,Low,Associate_Degree,Average,96.85,A,No
S06012,24,18.5,5.26,76.3,73.94,88.94,8.4,125042.38,17.54,85.1,13.7,2.53,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Excellent,89.26,B+,No
S06013,23,34.9,14.03,83.28,87.15,86.51,7.1,159897.45,17.89,95.8,7.5,4.33,Female,Visual,Yes,Yes,True,Medium,Bachelors_Degree,Average,97.94,A,No
S06014,25,10.6,4.62,69.75,66.69,72.03,8.7,93668.31,19.93,93.6,18.3,3.2,Other,Auditory,No,Yes,False,Medium,Some_College_No_Degree,Excellent,78.96,C+,Yes
S06015,24,16.3,11.32,73.93,67.11,82.94,7.2,124853.59,15.43,117.6,19.9,3.92,Female,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Average,81.08,B-,Yes
S06016,23,27.1,10.64,78.31,76.57,85.01,8.8,165448.93,16.6,128.8,6.6,2.6,Female,Visual,Yes,Yes,True,Low,Masters_Degree,Excellent,93.19,A,No
S06017,20,38.7,14.8,78.08,73.88,79.34,5.6,93588.4,14.85,79.3,10.3,5.74,Female,Kinesthetic,Yes,Yes,False,High,Some_College_No_Degree,Poor,87.92,B+,No
S06018,21,15.1,9.15,68.07,62.66,73.89,8.2,128593.54,19.29,97.1,16.0,3.98,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Excellent,82.21,B-,Yes
S06019,23,12.1,6.56,67.6,54.38,75.16,6.7,63208.31,13.59,99.9,17.6,4.44,Female,Auditory,No,Yes,False,High,High_School_Diploma,Average,74.92,C,Yes
S06020,25,25.1,9.97,86.74,75.83,91.16,7.5,121973.69,15.72,57.7,10.0,2.96,Female,Visual,Yes,Yes,True,Low,Associate_Degree,Average,92.68,A-,No
S06021,23,17.3,7.19,77.56,55.36,74.89,8.2,116717.04,14.85,169.1,16.4,3.23,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Excellent,74.48,C,Yes
S06022,25,17.5,6.8,72.3,66.87,71.46,7.4,99703.25,14.88,94.1,15.3,4.19,Female,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Average,81.0,B-,Yes
S06023,24,18.2,6.06,67.07,73.43,71.63,6.7,115915.47,18.65,80.3,15.0,4.71,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,84.68,B,No
S06024,19,29.6,13.58,69.9,69.48,72.87,6.8,108313.43,18.0,133.3,11.1,5.03,Male,Visual,No,Yes,False,High,Associate_Degree,Average,79.44,C+,Yes
S06025,25,22.7,10.39,82.3,71.7,90.64,6.3,115859.3,12.97,86.6,16.2,3.06,Female,Reading/Writing,Yes,Yes,False,Low,Associate_Degree,Average,86.78,B,No
S06026,23,23.0,12.89,80.45,68.53,81.58,8.3,146979.28,14.82,113.3,14.7,3.0,Male,Reading/Writing,Yes,Yes,False,Medium,Bachelors_Degree,Excellent,87.35,B+,No
S06027,21,21.8,8.54,67.31,61.96,69.08,8.4,49211.71,15.97,115.9,7.9,3.96,Female,Reading/Writing,No,Yes,False,High,High_School_Diploma,Excellent,77.59,C+,Yes
S06028,19,16.9,11.67,60.51,63.04,70.97,8.5,122113.38,17.81,73.7,16.6,3.36,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Excellent,80.78,B-,Yes
S06029,22,12.1,4.85,66.84,59.37,78.95,8.1,37543.23,15.68,108.1,7.8,3.54,Male,Auditory,No,Yes,False,High,High_School_Diploma,Excellent,76.33,C,Yes
S06030,22,30.2,8.77,74.23,65.79,75.21,6.7,41204.1,13.07,100.5,14.4,4.31,Male,Visual,No,Yes,False,High,High_School_Diploma,Average,78.29,C+,Yes
